::1 - - [28/Jan/2026:01:47:03 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:47:03 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:47:03 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:47:04 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:56:10 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:10 +0000] "GET /api/dashboard/stats HTTP/1.1" 200 523 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:16 +0000] "GET /api/auth/users HTTP/1.1" 200 367 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:22 +0000] "GET /api/users HTTP/1.1" 200 610 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:30 +0000] "GET /api/auth/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:34 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:49 +0000] "GET /api/outlets HTTP/1.1" 200 866 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:52 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:53 +0000] "GET /api/outlets HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:55 +0000] "GET /api/visits/sales HTTP/1.1" 500 93 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:55 +0000] "GET /api/visits/md HTTP/1.1" 200 531 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:55 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:56:55 +0000] "GET /api/outlets HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:05 +0000] "GET /api/reports/daily?date=2026-01-28&username=&visit_type= HTTP/1.1" 500 107 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:07 +0000] "GET /api/visits/sales HTTP/1.1" 500 93 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:07 +0000] "GET /api/visits/md HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:08 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:08 +0000] "GET /api/outlets HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:10 +0000] "GET /api/reports/daily?date=2026-01-28&username=&visit_type= HTTP/1.1" 500 107 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:27 +0000] "GET /api/visits/sales HTTP/1.1" 500 93 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:27 +0000] "GET /api/visits/md HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:27 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:27 +0000] "GET /api/outlets HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:44 +0000] "GET /api/outlets HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:46 +0000] "GET /api/visits/sales HTTP/1.1" 500 93 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:46 +0000] "GET /api/outlets HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:46 +0000] "GET /api/visits/md HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:46 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:49 +0000] "GET /api/outlets HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:57:59 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:58:13 +0000] "POST /api/auth/login HTTP/1.1" 400 174 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:58:21 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:58:34 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
